,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
0,139047,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD (D),E13*2001/116*0185*32,WA6,YMCB1KX,7KEAZNADXF3,FORD,GALAXY,M1,M1,1,1935.0,2133.0,140.0,174.0,2850.0,1606.0,1606.0,diesel,M,1995.0,110.0,,,,,,,P,2019,,,
1,3608754,DE,,PSA-OPEL,PSA,PSA AUTOMOBILES SA,PSA AUTOMOBILES,E2*2007/46*0628*04,F,3,5GFT-C1B100,PEUGEOT,508,M1,M1,1,1495.0,1666.0,116.0,155.0,2800.0,1600.0,1600.0,petrol,M,1598.0,133.0,,,,,,,P,2019,,,
4,3608802,DE,,RENAULT,RENAULT,RENAULT SAS,RENAULT F,E2*2007/46*0574*08,RFA,RH2,A86TA0417000,RENAULT,SCENIC,M1,M1,1,1706.0,1874.0,129.0,150.0,2804.0,1602.0,1596.0,diesel,M,1750.0,88.0,,,,,,,P,2019,,,
10,3608898,DE,,VW GROUP PC,SEAT,SEAT SA,SEAT E,E9*2007/46*6666*01,KN,XDFHAX1,AD7AD7DL0037CPML761CB,SEAT,TARRACO,M1,M1,1,1845.0,2084.0,147.0,197.0,2787.0,1585.0,1574.0,diesel,M,1968.0,140.0,,,,,,,P,2019,,,
19,3609630,DE,,VW GROUP PC,PORSCHE,DR ING HCF PORSCHE AG,PORSCHE,E13*2007/46*1165*10,95B,JK22,1000000,PORSCHE,MACAN,M1,M1,1,1870.0,2072.0,185.0,230.0,2807.0,1659.0,1660.0,petrol,M,1984.0,180.0,,,,,,,P,2019,,,
84,3538143,DE,,RENAULT,RENAULT,RENAULT SAS,RENAULT F,E2*2007/46*0653*04,RFD,KF4,M1BTA0910000,RENAULT,TALISMAN,M1,M1,1,1600.0,1778.0,169.0,184.0,2809.0,1621.0,1620.0,petrol,M,1798.0,165.0,,,,,,,P,2019,,,
89,3520117,DE,,RENAULT,DACIA,AUTOMOBILE DACIA SA,DACIA RO,E2*2001/116*0314*87,SD,00ES,NB5CA000M500,DACIA,DOKKER,M1,M1,1,1224.0,1391.0,156.0,171.0,2810.0,1492.0,1478.0,petrol,M,1598.0,75.0,,,,,,,P,2019,,,
92,3521645,DE,,,AA-IVA,AA-IVA,PORSCHE,,95B,,,PORSCHE,MACAN S,M1,M1,1,1940.0,2240.0,180.0,269.0,2807.0,1659.0,1660.0,petrol,M,2995.0,260.0,,,,,,,P,2019,,,
116,783333,DE,IP-MQB48ZZ_A0_0328-TMB-1,VW GROUP PC,SKODA,SKODA AUTO AS,SKODA CZ,E8*2007/46*0317*08,3T,ACDSRAX01,NFM6FM62Q0284BFSTN1C8A,SKODA,SUPERB,M1,M1,1,1577.0,1737.0,105.0,139.0,2836.0,1586.0,1574.0,diesel,M,1968.0,110.0,,e8 17 19,2.4,,,,P,2019,,,
126,783343,DE,,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E13*2007/46*1845*07,A1,DADAX0AC4,FM6FM62S0327CP1CA,VOLKSWAGEN VW,T-ROC,M1,M1,1,1330.0,1451.0,123.0,150.0,2590.0,1546.0,1541.0,petrol,M,1498.0,110.0,,,,,,,P,2019,,,
248,783465,DE,,FCA-TESLA,FIAT GROUP,FCA ITALY SPA,FCA ITALYI,E3*2007/46*0064*47,312,AXF11,07KT,FIAT,ABARTH 500,M1,M1,1,1130.0,1277.0,153.0,172.0,2300.0,1415.0,1408.0,petrol,M,1368.0,132.0,,,,,,,P,2019,,,
496,784005,DE,,FCA-TESLA,FIAT GROUP,FCA ITALY SPA,FCA ITALYI,E3*2007/46*0064*33,312,AXY1A,18B,FIAT,500 ABARTH,M1,M1,1,1150.0,,139.0,,2300.0,1415.0,1408.0,petrol,M,1368.0,107.0,,,,,,,P,2019,,,
