,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
658,784459,DE,IP-MQB48ZZ_A1_0328-WVW-1,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0307*60,3C,ACDSRAX0,FM6FM62Q028SV4BFVR21CA,VOLKSWAGEN VW,PASSAT,M1,M1,1,1560.0,1706.0,108.0,134.0,2786.0,1564.0,1572.0,diesel,M,1968.0,110.0,,,,,,,P,2019,,,
665,784466,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1829*05,F2A,X245T2,GZAA152A,MERCEDES-BENZ,A 220,M1,M1,1,1450.0,1599.0,145.0,166.0,2729.0,1559.0,1564.0,petrol,M,1991.0,140.0,,e1 2,1.6,,,,P,2019,,,
714,784515,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1909*00,F2B,O0H7T2,FZAA151B,MERCEDES-BENZ,B 200,M1,M1,1,1410.0,1570.0,,146.0,2729.0,1569.0,1552.0,petrol,M,1332.0,120.0,,e1 9,1.7,,,,P,2019,,,
848,779035,DE,,PSA-OPEL,PSA,PSA AUTOMOBILES SA,PSA AUTOMOBILES,E2*2007/46*0624*03,E,C,YHZJ-A2B010,PEUGEOT,RIFTER,M1,M1,1,1505.0,1754.0,116.0,156.0,2785.0,1563.0,1577.0,diesel,M,1499.0,96.0,,,,,,,P,2019,,,
1063,779251,DE,,VW GROUP PC,AUDI AG,AUDI AG,AUDI,E1*2001/116*0430*55,B8,C2DETAF1,FD7FD7CK006RT171E19S47CPBEM1,AUDI,A5 COUPE,M1,M1,1,1565.0,1747.0,118.0,146.0,2770.0,1587.0,1568.0,diesel,M,1968.0,140.0,,,,,,,P,2019,,,
1196,779676,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1829*07,F2A,X246T2,GZAA152A,MERCEDES-BENZ,A 250,M1,M1,1,1455.0,1621.0,143.0,168.0,2729.0,1559.0,1564.0,petrol,M,1991.0,165.0,,e1 2,1.6,,,,P,2019,,,
1345,779825,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1909*01,F2B,O046T2,GZAA150B,MERCEDES-BENZ,B 250,M1,M1,1,1495.0,1599.0,143.0,163.0,2729.0,1569.0,1564.0,petrol,M,1991.0,165.0,,e1 2,1.6,,,,P,2019,,,
1437,780035,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1829*04,F2A,X2H7T2,FZAA151B,MERCEDES-BENZ,A 200,M1,M1,1,1375.0,1473.0,125.0,144.0,2729.0,1569.0,1552.0,petrol,M,1332.0,120.0,,e1 9,1.7,,,,P,2019,,,
1611,780501,DE,IP-MQB48ZZ_A2_0181-WVW-1,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*1725*12,3H,ABDKZAX0,FD7FD7GC006V4BFVR21AOA,VOLKSWAGEN VW,ARTEON,M1,M1,1,1600.0,1735.0,138.0,169.0,2837.0,1577.0,1581.0,petrol,M,1984.0,140.0,,,,,,,P,2019,,,
1830,780720,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1909*01,F2B,O0H9T2,FZAA150B,MERCEDES-BENZ,B 180,M1,M1,1,1405.0,1538.0,125.0,143.0,2729.0,1559.0,1564.0,petrol,M,1332.0,100.0,,e1 9,1.7,,,,P,2019,,,
1928,781110,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1829*04,F2A,X2H9T2,FZAA150B,MERCEDES-BENZ,A 180,M1,M1,1,1365.0,1539.0,124.0,147.0,2729.0,1559.0,1564.0,petrol,M,1332.0,100.0,,e1 9,1.7,,,,P,2019,,,
3031,3667336,DE,,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0450*37,5N,ACDFGAX0,FD7FD7GC009L5N4NVR27CP1CSB,VOLKSWAGEN VW,TIGUAN,M1,M1,1,1705.0,1863.0,132.0,166.0,2787.0,1585.0,1574.0,diesel,M,1968.0,110.0,,,,,,,P,2019,,,
3039,3667344,DE,,MITSUBISHI MOTORS,MITSUBISHI MOTORS THAILAND,MITSUBISHI MOTORS THAILAND CO LTD MMTH,MITSUBISHI THA,E1*2007/46*0951*10,A00,A0511,AAAAA5B5CAAA,MITSUBISHI,MITSUBISHI SPACE STAR,M1,M1,1,940.0,1032.0,104.0,116.0,2450.0,1430.0,1415.0,petrol,M,999.0,52.0,,,,,,,P,2019,,,
3126,3502028,DE,,VW GROUP PC,AUDI AG,AUDI AG,AUDI,E1*2007/46*1550*07,FY,XCWGDQ1,QA8QA8D5006PFY107MM0EM1FL,AUDI,SQ5,M1G,M1G,1,1945.0,,195.0,,2824.0,1622.0,1626.0,petrol,M,2995.0,260.0,,,,,,,P,2019,,,
3129,3502200,DE,,FCA-TESLA,ALFA ROMEO,ALFA ROMEO SPA,ALFA ROMEO I,E3*2007/46*0435*09,949,AXN1A,5BG,ALFA ROMEO,STELVIO,M1,M1,1,1735.0,1834.0,139.0,163.0,2818.0,1627.0,1674.0,diesel,M,2143.0,140.0,,,,,,,P,2019,,,
3131,3502234,DE,,,AA-IVA,AA-IVA,PORSCHE,,992,,,PORSCHE,911 CARRERA GTS,M1,M1,1,1560.0,1895.0,209.0,239.0,2450.0,1589.0,1557.0,petrol,M,2981.0,353.0,,,,,,,P,2019,,,
3132,3502251,DE,,RENAULT,DACIA,AUTOMOBILE DACIA SA,DACIA RO,E2*2001/116*0314*89,SD,0JDV,JT6DB000M700,DACIA,LODGY,M1,M1,1,1388.0,1551.0,116.0,141.0,2810.0,1492.0,1478.0,diesel,M,1461.0,85.0,,,,,,,P,2019,,,
3136,3502355,DE,,VW GROUP PC,AUDI AG,AUDI AG,AUDI,E1*2007/46*1550*09,FY,XDETAQ1,QD7AD7CJ002RT11C187CPAEM1FL,AUDI,Q5,M1G,M1G,1,1845.0,2079.0,144.0,193.0,2824.0,1632.0,1636.0,diesel,M,1968.0,140.0,,,,,,,P,2019,,,
3148,3503028,DE,,VW GROUP PC,PORSCHE,DR ING HCF PORSCHE AG,PORSCHE,E13*2007/46*1187*18,991,CK12,65,PORSCHE,911 CARRERA T,M1,M1,1,1520.0,,193.0,,2450.0,1545.0,1518.0,petrol,M,2981.0,272.0,,e1 8,1.3,,,,P,2019,,,
3164,3503335,DE,,VW GROUP PC,PORSCHE,DR ING HCF PORSCHE AG,PORSCHE,E13*2007/46*0992*02,992,CB12,1400000,PORSCHE,911 CARRERA S,M1,M1,1,1590.0,1741.0,205.0,229.0,2450.0,1589.0,1557.0,petrol,M,2981.0,331.0,,,,,,,P,2019,,,
3170,3503452,DE,,VW GROUP PC,PORSCHE,DR ING HCF PORSCHE AG,PORSCHE,E13*2007/46*0992*01,992,CB22,1400000,PORSCHE,911 CARRERA 4S,M1,M1,1,1640.0,1768.0,206.0,242.0,2450.0,1589.0,1557.0,petrol,M,2981.0,331.0,,,,,,,P,2019,,,
3181,3503967,DE,,VW GROUP PC,PORSCHE,DR ING HCF PORSCHE AG,PORSCHE,E13*2007/46*1607*07,982,KA12,32,PORSCHE,718 BOXSTER,M1,M1,1,1440.0,1540.0,180.0,197.0,2475.0,1515.0,1540.0,petrol,M,1988.0,220.0,,e1 8,1.3,,,,P,2019,,,
3187,3504075,DE,,,AA-IVA,AA-IVA,MERCEDES-BENZ,,F2B,,,MERCEDES-BENZ,EQA 250,M1,M1,1,2015.0,,0.0,0.0,,,,electric,E,,140.0,,,,,,,P,2019,,,
3196,3505203,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2001/116*0431*49,204,R031T0,BZAA052A,MERCEDES-BENZ,C 180,M1,M1,1,1440.0,1597.0,138.0,156.0,2840.0,1589.0,1536.0,petrol,M,1595.0,115.0,,,,,,,P,2019,,,
3200,3505287,DE,,,AA-IVA,AA-IVA,VOLKSWAGEN-VW,,7HC,,,VOLKSWAGEN VW,KOMBI,M1,M1,1,2141.0,,,220.0,,,,diesel,M,1968.0,81.0,,,,,,,P,2019,,,
3234,3506638,DE,,,AA-IVA,AA-IVA,VOLKSWAGEN-VW,,CR,,,VOLKSWAGEN VW,TOUAREG,M1G,M1G,1,2017.0,,297.0,,,,,petrol,M,2995.0,250.0,,,,,,,P,2019,,,
3298,3499732,DE,,,AA-IVA,AA-IVA,AUDI,,GY,,,AUDI,AUDI A3,M1,M1,1,1305.0,,163.0,,,,,petrol,M,999.0,81.0,,,,,,,P,2019,,,
3319,4119652,DE,,,AA-IVA,AA-IVA,DAIMLER D,,R1EC,,,MERCEDES-BENZ,E450 4MATIC CA,M1,M1,1,1950.0,,,229.0,,,,petrol,M,2996.0,270.0,,,,,,,P,2019,,,
3546,4119881,DE,,,AA-IVA,AA-IVA,KIA MOTORS ROK,,SK3EV,,,KIA,SOUL EV,M1,M1,1,1305.0,,0.0,0.0,,,,electric,E,,150.0,,,,,,,P,2019,,,
5281,4124368,DE,,,AA-IVA,AA-IVA,,,,,,VOLKSWAGEN VW,,M1,M1,1,1955.0,,262.0,,,,,petrol,M,1984.0,162.0,,,,,,,P,2019,,,
5679,4124770,DE,,,AA-IVA,AA-IVA,,,,,,VOLKSWAGEN VW,TERAMONT,M1,M1,1,1955.0,,254.0,,,,,petrol,M,1984.0,137.0,,,,,,,P,2019,,,
6395,4125788,DE,,,AA-IVA,AA-IVA,VOLKSWAGEN-VW,,E2,,,VOLKSWAGEN VW,ID4,M1,M1,1,1952.0,,0.0,0.0,,,,electric,E,,109.0,,,,,,,P,2019,,,
6798,4126191,DE,,,AA-IVA,AA-IVA,FCA USA,,KL,,,JEEP,JEEP CHEROKEE,M1,M1,1,1953.0,,149.0,,,,,diesel,M,2184.0,136.0,,,,,,,P,2019,,,
6992,4126385,DE,,,AA-IVA,AA-IVA,DAIMLER D,,R1EC,,,MERCEDES-BENZ,E 350 4MATIC,M1,M1,1,1950.0,,,229.0,,,,petrol,M,1991.0,220.0,,,,,,,P,2019,,,
7922,4127325,DE,,,AA-IVA,AA-IVA,DAIMLER D,,221,,,MERCEDES-BENZ,S 320,M1,M1,1,1950.0,,,206.0,,,,petrol,M,1991.0,220.0,,,,,,,P,2019,,,
8035,4127439,DE,,,AA-IVA,AA-IVA,DAIMLER D,,R1EC,,,MERCEDES-BENZ,E 450 4MATIC,M1,M1,1,1950.0,,,300.0,,,,petrol,M,2996.0,270.0,,,,,,,P,2019,,,
9219,4128643,DE,,,AA-IVA,AA-IVA,,,,,,VOLKSWAGEN MOTORSPORT,POLO,M1,M1,1,1305.0,,230.0,,,,,petrol,M,1620.0,200.0,,,,,,,P,2019,,,
9630,4129061,DE,,,AA-IVA,AA-IVA,DAIMLER D,,204K,,,MERCEDES-BENZ,C 300 DE,M1,M1,1,1955.0,,,46.0,,,,diesel/electric,P,1950.0,143.0,,,,,,,P,2019,,,
10076,4129508,DE,,,AA-IVA,AA-IVA,AUDI,,F2,,,AUDI,AUDI A7,M1,M1,1,1955.0,,220.0,,,,,diesel,M,2967.0,210.0,,,,,,,P,2019,,,
11027,4130464,DE,,,AA-IVA,AA-IVA,AUDI,,F8,,,AUDI,A8 L QUATTRO,M1,M1,1,1955.0,,291.0,,,,,petrol,M,2995.0,250.0,,,,,,,P,2019,,,
11309,4130753,DE,,,AA-IVA,AA-IVA,MERCEDES-BENZ,,212,,,MERCEDES-BENZ,E 63 AMG S-MODELL,M1,M1,1,1955.0,,,207.0,,,,petrol,M,3982.0,450.0,,,,,,,P,2019,,,
11423,4130870,DE,,,AA-IVA,AA-IVA,AUDI,,F8,,,AUDI,A8 L 55 TFSI QUATTRO,M1,M1,1,1955.0,,291.0,,,,,petrol,M,2995.0,250.0,,,,,,,P,2019,,,
11653,4131104,DE,,,AA-IVA,AA-IVA,OPEL AUTOMOBILE,,3823-N216,,,OPEL,INSIGNIA GRAND SPORT,M1,M1,1,1955.0,,180.0,,,,,diesel,M,1956.0,125.0,,,,,,,P,2019,,,
12302,4131761,DE,,,AA-IVA,AA-IVA,,,4800-E124,,,OPEL,CORSA,M1,M1,1,1055.0,,125.0,125.0,,,,petrol,M,1199.0,74.0,,,,,,,P,2019,,,
13255,4132722,DE,,,AA-IVA,AA-IVA,DAIMLER D,,212,,,MERCEDES-BENZ,E 300 E,M1,M1,1,1955.0,,60.0,,,,,petrol/electric,P,1991.0,155.0,,,,,,,P,2019,,,
13857,4716666,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD D,E13*2007/46*1911*05,DEH,B7DA1PX,5APBZ6AB7CT,FORD,FOCUS,M1,M1,1,1383.0,1505.0,108.0,134.0,2700.0,1576.0,1576.0,petrol,M,999.0,92.0,,,,,0.038,0.0,P,2019,,,
13861,4716671,DE,,BMW GROUP,BMW AG,BAYERISCHE MOTOREN WERKE AG,BAYERMOTWERKE-BMW,E1*2007/46*1678*06,FML2,XY31,CHW400L0,MINI,COOPER D,M1,M1,1,1240.0,1345.0,103.0,119.0,2495.0,1501.0,1501.0,diesel,M,1496.0,85.0,,e24 19,1.0,,,,P,2019,,,
13873,4716683,DE,,,AA-IVA,AA-IVA,FCA USA,,DURANGO,,,DODGE,DURANGO R/T,M1G,M1G,1,2677.0,,370.0,,,,,petrol,M,5654.0,268.0,,,,,,,P,2019,,,
13984,4716795,DE,,,AA-IVA,AA-IVA,FCA USA,,DURANGO,,,DODGE,DODGE DURANGO,M1G,M1G,1,2677.0,,329.0,,,,,lpg,M,5654.0,268.0,,,,,,,P,2019,,,
13985,4716796,DE,,,AA-IVA,AA-IVA,OPEL AUTOMOBILE,,D2WO-20-MVBS-CTF-3,,,OPEL,ASTRA SPORTS TOURER,M1,M1,1,1355.0,,137.0,,,,,petrol,M,1199.0,81.0,,,,,,,P,2019,,,
14096,4716909,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD D,E13*2001/116*0109*47,DM2,M9ME4AX,5CEBZ6ABS1F,FORD,KUGA,M1,M1,1,1739.0,1886.0,209.0,226.0,2690.0,1569.0,1570.0,petrol,M,1498.0,129.0,,,,,0.039,0.0,P,2019,,,
14104,4716917,DE,,BMW GROUP,BMW AG,BAYERISCHE MOTOREN WERKE AG,BAYERMOTWERKE-BMW,E1*2007/46*1678*05,FML2,XR11,DAW400L0,MINI,ONE,M1,M1,1,1245.0,1370.0,,146.0,2495.0,1501.0,1501.0,petrol,M,1499.0,75.0,,e24 19,1.1,,,,P,2019,,,
14269,4717082,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD D,E13*2007/46*1103*23,DXA,T8DF1WX,5SJAZ6AAZ66,FORD,GRAND C-MAX,M1,M1,1,1702.0,1873.0,140.0,177.0,2788.0,1554.0,1564.0,diesel,M,1997.0,125.0,,,,,,,P,2019,,,
14270,4717083,DE,,VW GROUP PC,AUDI AG,AUDI AG,AUDI,E1*2001/116*0430*59,B8,A2DCPEQ1,QA8QA8D5009RT091C17S57CPBEM1,AUDI,A4 AVANT,M1,M1,1,1805.0,1975.0,139.0,183.0,2829.0,1575.0,1568.0,diesel,M,2967.0,170.0,,,,,,,P,2019,,,
14274,4717087,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2001/116*0457*42,204K,R214T1,CLAA150A,MERCEDES-BENZ,C 220 D 4MATIC,M1,M1,1,1720.0,1840.0,139.0,163.0,2840.0,1577.0,1536.0,diesel,M,1950.0,143.0,,e1 2,1.7,,,,P,2019,,,
14275,4717088,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD D,E13*2001/116*0185*32,WA6,BCCC1JX,5KEAZNADZF1,FORD,S-MAX,M1,M1,1,1905.0,2049.0,138.0,172.0,2850.0,1606.0,1606.0,diesel,M,1995.0,140.0,,,,,,,P,2019,,,
14279,4717092,DE,,BMW GROUP,BMW AG,BAYERISCHE MOTOREN WERKE AG,BAYERMOTWERKE-BMW,E1*2007/46*1797*04,G3X,TX35,CAW500LA,BMW,X3 XDRIVE 20D,M1G,M1G,1,1825.0,1942.0,,179.0,2864.0,1620.0,1636.0,diesel,M,1995.0,140.0,,e24 9 19,2.7,,,,P,2019,,,
14282,4717095,DE,,,VOLVO,VOLVO CAR CORPORATION,VOLVO S,E4*2007/46*1220*04,U,UZA8,UZA8V40,VOLVO,XC60,M1G,M1G,1,1820.0,2010.0,139.0,168.0,2865.0,1668.0,1673.0,diesel,M,1969.0,140.0,,,,,,,P,2019,,,
14283,4717096,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1666*11,R1EC,T318T0,CZAA14AC,MERCEDES-BENZ,E 300 D,M1,M1,1,1810.0,1975.0,140.0,175.0,2873.0,1599.0,1591.0,diesel,M,1950.0,180.0,,e1 2,1.7,,,,P,2019,,,
14284,4717097,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2001/116*0480*33,204X,R714T1,CZAA152A,MERCEDES-BENZ,GLC 220 D 4MATIC,M1,M1,1,1835.0,2030.0,140.0,168.0,2873.0,1618.0,1616.0,diesel,M,1950.0,143.0,,e1 2,1.7,,,,P,2019,,,
14285,4717098,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2007/46*1666*12,R1EC,T414T0,CZAA14AA,MERCEDES-BENZ,E 220 D,M1,M1,1,1855.0,1978.0,139.0,170.0,2873.0,1599.0,1603.0,diesel,M,1950.0,143.0,,e1 2,1.7,,,,P,2019,,,
14286,4717099,DE,,BMW GROUP,BMW AG,BAYERISCHE MOTOREN WERKE AG,BAYERMOTWERKE-BMW,E1*2007/46*0559*12,3-V,8T51,6AW500L0,BMW,320D XDRIVE,M1,M1,1,1790.0,1937.0,141.0,172.0,2920.0,1541.0,1586.0,diesel,M,1995.0,140.0,,e24 10,1.0,,,,P,2019,,,
14288,4717101,DE,,VW GROUP PC,SEAT,SEAT SA,SEAT E,E1*2007/46*0402*19,7N,DLTAX0AF,FD6FD62E0317CPN7VR2SE1CA,SEAT,ALHAMBRA,M1,M1,1,1855.0,2049.0,140.0,179.0,2920.0,1571.0,1617.0,diesel,M,1968.0,110.0,,,,,,,P,2019,,,
14292,4717105,DE,,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0401*21,7N,DLTAX0AF,FD6FD62E0317CPN7VW1CA,VOLKSWAGEN VW,SHARAN,M1,M1,1,1855.0,2037.0,140.0,180.0,2920.0,1571.0,1617.0,diesel,M,1968.0,110.0,,,,,,,P,2019,,,
14296,4717109,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2001/116*0501*40,212,U021T0,CZAC150A,MERCEDES-BENZ,E 350 D,M1,M1,1,1840.0,1999.0,139.0,163.0,2939.0,1599.0,1584.0,diesel,M,2925.0,210.0,,e1 2,1.4,,,,P,2019,,,
14297,4717110,DE,,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2001/116*0252*53,2K,ACDFSBX0,L0J2FD6FD62E031N1SBVR27CSLL1AA,VOLKSWAGEN VW,CADDY,M1,M1,1,1578.0,1865.0,139.0,180.0,3006.0,1543.0,1544.0,diesel,M,1968.0,110.0,,,,,,,P,2019,,,
14301,4717114,DE,,FCA-TESLA,FIAT GROUP,FCA ITALY SPA,FCA ITALYI,E3*2007/46*0064*48,312,AXA1A,00BM,FIAT,FIAT 500,M1,M1,1,1035.0,1120.0,122.0,142.0,2300.0,1413.0,1407.0,petrol,M,1242.0,51.0,,,,,,,P,2019,,,
14307,4717120,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD D,E1*98/14*0194*35,JU2,SFCF1LX,5AKPZNACJAH,FORD,TOURNEO COURIER,M1,M1,1,1324.0,1482.0,126.0,147.0,2489.0,1496.0,1484.0,petrol,M,998.0,74.0,,,,,,,P,2019,,,
14308,4717121,DE,,RENAULT,RENAULT,RENAULT SAS,RENAULT F,E2*2007/46*0457*12,AH,0BE2,M9ASA0600000,RENAULT,TWINGO,M1,M1,1,1058.0,1138.0,122.0,140.0,2492.0,1455.0,1445.0,petrol,M,898.0,66.0,,,,,,,P,2019,,,
14309,4717122,DE,,DAIMLER AG,DAIMLER AG,DAIMLER AG,DAIMLER D,E1*2001/116*0413*40,451,5212H0,CZBAA41I,SMART,FORFOUR,M1,M1,1,995.0,1163.0,122.0,135.0,2494.0,1445.0,1434.0,petrol,M,898.0,66.0,,,,,,,P,2019,,,
14315,4717128,DE,,FORD-WERKE GMBH,FORD WERKE GMBH,FORD-WERKE GMBH,FORD D,E9*2007/46*0092*22,JK8,YYJF11X,5AAPZNAB5SV,FORD,ECOSPORT,M1,M1,1,1355.0,1456.0,124.0,155.0,2519.0,1519.0,1517.0,petrol,M,998.0,103.0,,,,,,,P,2019,,,
14319,4717132,DE,,VW GROUP PC,AUDI AG,AUDI AG,AUDI,E1*2007/46*1552*07,GA,XDKRFF1,FD7FD7CW007RT11B177CPAEM1HA1,AUDI,Q2,M1,M1,1,1325.0,1446.0,122.0,149.0,2587.0,1557.0,1577.0,petrol,M,999.0,85.0,,,,,,,P,2019,,,
14321,4717134,DE,,RENAULT,DACIA,AUTOMOBILE DACIA SA,DACIA RO,E2*2001/116*0314*88,SD,05ES,JR5CJ000M500,DACIA,SANDERO,M1,M1,1,1081.0,1210.0,123.0,142.0,2589.0,1497.0,1486.0,petrol,M,898.0,66.0,,,,,,,P,2019,,,
14332,4717145,DE,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA EUROPE B,E11*2001/116*0305*21,E15UT(A),NRE185(W),NRE185L-DWXSZW(1X),TOYOTA,TOYOTA AURIS,M1,M1,1,1300.0,1519.0,123.0,156.0,2600.0,1515.0,1500.0,petrol,M,1197.0,85.0,,,,,,,P,2019,,,
14334,4717147,DE,,RENAULT,RENAULT,RENAULT SAS,RENAULT F,E2*2001/116*0327*87,R,00JE2,NF5SA09A5000,RENAULT,CAPTUR,M1,M1,1,1248.0,1376.0,122.0,140.0,2606.0,1531.0,1516.0,petrol,M,898.0,66.0,,,,,,,P,2019,,,
14341,4717154,DE,,VW GROUP PC,SEAT,SEAT SA,SEAT E,E9*2007/46*0094*34,5F,BDHFAX0V,FD7GFD7CW0057CSVLO51CA,SEAT,LEON,M1,M1,1,1334.0,1492.0,96.0,115.0,2618.0,1555.0,1526.0,ng-biomethane,M,1498.0,96.0,,,,,,,P,2019,,,
14342,4717155,DE,,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN-VW,E1*2007/46*0623*34,AU,GAC4DADAX0,FM6FM62S022N7CPON1ML1CVR2NA,VOLKSWAGEN VW,GOLF,M1,M1,1,1320.0,1432.0,123.0,140.0,2620.0,1549.0,1521.0,petrol,M,1498.0,110.0,,,,,,,P,2019,,,
