,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
156184,49991593,DE,IP-2019_1402-WDB-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1829*09,F2A,X254T1,LZAA150A,MERCEDES-BENZ,AMG A 45S,M1,M1,1,1635.0,1763.0,,196.0,2729.0,1558.0,1597.0,PETROL,M,1991.0,310.0,,,,,,,P,2021,2021-06-11,,
156224,49991633,DE,IP-2020_1415-W1K-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1829*12,F2A,X254T1,LZAA150A,MERCEDES-BENZ,AMG A 45 S,M1,M1,1,1660.0,1786.0,,206.0,2729.0,1597.0,1558.0,PETROL,M,1991.0,310.0,,,,,,,P,2021,2021-01-29,,
156697,49992108,DE,IP-2019_1411-WDB-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1829*09,F2A,X2H0T2,KZAA151B,MERCEDES-BENZ,A 160,M1,M1,1,1350.0,1433.0,,135.0,2729.0,1558.0,1569.0,PETROL,M,1332.0,80.0,,,,,,,P,2021,2021-05-20,,
156714,49992125,DE,,,AA-IVA,AA-IVA,,,ALPINAG20-B,3411T,3411T,ALPINA,BMW ALPINA B3 TOURING,M1,M1,1,1940.0,,,247.0,,,,PETROL,M,2993.0,340.0,,,,,,,P,2021,2021-11-12,,
156936,49992347,DE,,,AA-IVA,AA-IVA,,,ALPINAG26,3405GL,3405GL,ALPINA,BMW ALPINA D4 S GRAN COUPE,M1,M1,1,2020.0,,,198.0,,,,DIESEL,H,2993.0,261.0,,,,,,,P,2021,2021-12-03,,
157381,49992792,DE,,,AA-IVA,AA-IVA,,,ALPINAG07,8111XL,8111XL,ALPINA,BMW ALPINA XB7,M1G,M1G,1,2755.0,,,311.0,,,,PETROL,H,4395.0,457.0,,,,,,,P,2021,2021-09-30,,
157714,49993125,DE,,,AA-IVA,AA-IVA,,,ALPINAG20-B,3411L,3411L,ALPINA,BMW ALPINA B3 LIMOUSINE,M1,M1,1,1890.0,,,228.0,,,,PETROL,M,2993.0,340.0,,,,,,,P,2021,2021-09-03,,
158047,49993458,DE,,,AA-IVA,AA-IVA,,,ALPINAG30,5211TL,5211TL,ALPINA,BMW ALPINA B5 TOURING ALLRAD,M1,M1,1,2155.0,,,272.0,,,,PETROL,M,4395.0,457.0,,,,,,,P,2021,2021-10-04,,
158159,49993570,DE,,,AA-IVA,AA-IVA,,,ALPINAG20-D,3415T,3415T,ALPINA,BMW ALPINA D3 S TOURING,M1,M1,1,2000.0,,,198.0,,,,DIESEL,H,2993.0,261.0,,,,,,,P,2021,2021-11-12,,
158381,49993792,DE,,,AA-IVA,AA-IVA,,,ALPINAG26,3401GL,,ALPINA,BMW ALPINA B4 GRAN COUPE,M1,M1,1,1985.0,,,247.0,,,,PETROL,M,2993.0,340.0,,,,,,,P,2021,2021-08-04,,
158713,49994124,DE,,,AA-IVA,AA-IVA,,,ALPINAG20-D,3415L,3415L,ALPINA,BMW ALPINA D3 S LIMOUSINE,M1,M1,1,1940.0,,,176.0,,,,DIESEL,H,2993.0,261.0,,,,,,,P,2021,2021-09-03,,
159157,49994568,DE,,,AA-IVA,AA-IVA,,,ALPINAG16,6201GL,5K,ALPINA,BMW ALPINA B8,M1,M1,1,2175.0,,,254.0,,,,PETROL,M,4395.0,457.0,,,,,,,P,2021,2021-08-10,,
159491,49994902,DE,,,AA-IVA,AA-IVA,,,ALPINAG01,4411XL,,ALPINA,BMW ALPINA XD3,M1,M1,1,2145.0,2240.0,,235.0,2864.0,1615.0,1598.0,DIESEL,M,2993.0,290.0,,,,,,,P,2021,2021-02-25,,
159824,49995235,DE,,,AA-IVA,AA-IVA,,,ALPINAG02,4461XL,,ALPINA,BMW ALPINA XD4,M1,M1,1,2145.0,,,235.0,,,,DIESEL,M,2993.0,290.0,,,,,,,P,2021,2021-02-25,,
160602,49996013,DE,,,AA-IVA,AA-IVA,,,ALPINAG30,5261LL,5261LL,ALPINA,BMW ALPINA D5 S ALLRAD,M1,M1,1,2010.0,,,221.0,,,,DIESEL,M,2993.0,300.0,,,,,,,P,2021,2021-12-21,,
160713,49996124,DE,,,AA-IVA,AA-IVA,,,ALPINAG30,5261TL,,ALPINA,BMW ALPINA D5 S TOU.ALLR,M1,M1,1,2095.0,,,187.0,,,,DIESEL,M,2993.0,300.0,,,,,,,P,2021,2021-06-21,,
161818,49997229,DE,,,AA-IVA,AA-IVA,,,F5,,,AUDI,AUDI A5,M1,M1,1,1660.0,,,,,,,PETROL,M,1984.0,150.0,,,,,,,P,2021,2021-07-26,,
